"","assessor","country"
"1",1,"ec"
"2",2,"fr"
"3",3,"ar"
"4",4,"fi"
"5",5,"no"
"6",6,"it"
"7",7,"lt"
"8",8,"ph"
"9",9,"tw"
"10",10,"nz"
"11",11,"ee"
"12",12,"tr"
"13",13,"us"
"14",14,"sv"
"15",15,"cr"
"16",16,"de"
"17",17,"cl"
"18",18,"jp"
"19",19,"br"
"20",20,"hn"
"21",21,"gt"
"22",22,"ch"
"23",23,"hu"
"24",24,"ca"
"25",25,"pe"
"26",26,"be"
"27",27,"my"
"28",28,"dk"
"29",29,"bo"
"30",30,"pl"
"31",31,"at"
"32",32,"pt"
"33",33,"se"
"34",34,"mx"
"35",35,"pa"
"36",36,"uy"
"37",37,"is"
"38",38,"es"
"39",39,"cz"
"40",40,"ie"
"41",41,"nl"
"42",42,"sk"
"43",43,"co"
"44",44,"sg"
"45",45,"id"
"46",46,"do"
"47",47,"lu"
"48",48,"gb"
"49",49,"global"
"50",50,"py"
"51",51,"au"
"52",52,"lv"
"53",53,"gr"
"54",54,"hk"
